,Unnamed: 0,country,club_name,club_code,link,gender,year,counter,link_image_club
66,66,Belgium Football Clubs,OH-Leuven,27e981a3,https://fbref.com/en/squads/27e981a3/2022-2023/all_comps/OH-Leuven-Stats-All-Competitions,Male,2022,250,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/27e981a3.png
67,67,Belgium Football Clubs,OH-Leuven-Women,696ced1d,https://fbref.com/en/squads/696ced1d/2022-2023/all_comps/OH-Leuven-Women-Stats-All-Competitions,Female,2022,251,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/696ced1d.png
68,68,Belgium Football Clubs,Charleroi,140e320a,https://fbref.com/en/squads/140e320a/2022-2023/all_comps/Charleroi-Stats-All-Competitions,Male,2022,252,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/140e320a.png
69,69,Belgium Football Clubs,RE-Virton,3ae1e75f,https://fbref.com/en/squads/3ae1e75f/2022-2023/all_comps/RE-Virton-Stats-All-Competitions,Male,2022,253,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/3ae1e75f.png
70,70,Belgium Football Clubs,RFC-Seraing,89e806ff,https://fbref.com/en/squads/89e806ff/2022-2023/all_comps/RFC-Seraing-Stats-All-Competitions,Male,2022,254,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/89e806ff.png
71,71,Belgium Football Clubs,Antwerp,c2e6b53b,https://fbref.com/en/squads/c2e6b53b/2022-2023/all_comps/Antwerp-Stats-All-Competitions,Male,2022,258,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/c2e6b53b.png
72,72,Belgium Football Clubs,Royal-Standard-de-Liege-U23,8eadc84f,https://fbref.com/en/squads/8eadc84f/2022-2023/all_comps/Royal-Standard-de-Liege-U23-Stats-All-Competitions,Male,2022,259,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/8eadc84f.png
73,73,Belgium Football Clubs,Union-SG,e14f61a5,https://fbref.com/en/squads/e14f61a5/2022-2023/all_comps/Union-SG-Stats-All-Competitions,Male,2022,260,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/e14f61a5.png
74,74,Belgium Football Clubs,Anderlecht,08ad393c,https://fbref.com/en/squads/08ad393c/2022-2023/all_comps/Anderlecht-Stats-All-Competitions,Male,2022,261,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/08ad393c.png
75,75,Belgium Football Clubs,Anderlecht-Women,231a3620,https://fbref.com/en/squads/231a3620/2022-2023/all_comps/Anderlecht-Women-Stats-All-Competitions,Female,2022,262,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/231a3620.png
76,76,Belgium Football Clubs,RSC-Anderlecht-U23,19c8caf5,https://fbref.com/en/squads/19c8caf5/2022-2023/all_comps/RSC-Anderlecht-U23-Stats-All-Competitions,Male,2022,265,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/19c8caf5.png
77,77,Belgium Football Clubs,RWD-Molenbeek,e423ea45,https://fbref.com/en/squads/e423ea45/2022-2023/all_comps/RWD-Molenbeek-Stats-All-Competitions,Male,2022,266,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/e423ea45.png
78,78,Belgium Football Clubs,Sint-Truiden,80328a1e,https://fbref.com/en/squads/80328a1e/2022-2023/all_comps/Sint-Truiden-Stats-All-Competitions,Male,2022,270,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/80328a1e.png
79,79,Belgium Football Clubs,Charleroi,3a282a27,https://fbref.com/en/squads/3a282a27/2022-2023/all_comps/Charleroi-Stats-All-Competitions,Female,2022,271,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/3a282a27.png
80,80,Belgium Football Clubs,Standard-Liege-Women,261c5544,https://fbref.com/en/squads/261c5544/2022-2023/all_comps/Standard-Liege-Women-Stats-All-Competitions,Female,2022,273,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/261c5544.png
81,81,Belgium Football Clubs,Standard-Liege,33c6b26e,https://fbref.com/en/squads/33c6b26e/2022-2023/all_comps/Standard-Liege-Stats-All-Competitions,Male,2022,274,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/33c6b26e.png
82,82,Belgium Football Clubs,Zulte-Waregem,ecd34b98,https://fbref.com/en/squads/ecd34b98/2022-2023/all_comps/Zulte-Waregem-Stats-All-Competitions,Male,2022,275,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/ecd34b98.png
83,83,Belgium Football Clubs,Eendracht-Alost,33f08abd,https://fbref.com/en/squads/33f08abd/2022-2023/all_comps/Eendracht-Alost-Stats-All-Competitions,Female,2022,276,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/33f08abd.png
84,84,Belgium Football Clubs,Waasland-Beveren,0217e4d8,https://fbref.com/en/squads/0217e4d8/2022-2023/all_comps/Waasland-Beveren-Stats-All-Competitions,Male,2022,277,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/0217e4d8.png
85,85,Belgium Football Clubs,Yellow-Red-KV-Mechelen,a172ed0a,https://fbref.com/en/squads/a172ed0a/2022-2023/all_comps/Yellow-Red-KV-Mechelen-Stats-All-Competitions,Female,2022,278,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/a172ed0a.png
86,86,Bulgaria Football Clubs,FC-Arda,66906381,https://fbref.com/en/squads/66906381/2022-2023/all_comps/FC-Arda-Stats-All-Competitions,Male,2022,437,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/66906381.png
87,87,Bulgaria Football Clubs,Lokomotiv-Sofia,21b98152,https://fbref.com/en/squads/21b98152/2022-2023/all_comps/Lokomotiv-Sofia-Stats-All-Competitions,Male,2022,443,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/21b98152.png
88,88,Bulgaria Football Clubs,FC-Spartak-Varna,e2736967,https://fbref.com/en/squads/e2736967/2022-2023/all_comps/FC-Spartak-Varna-Stats-All-Competitions,Male,2022,451,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/e2736967.png
