,Unnamed: 0,Player,Nation,Pos,Age,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Matches,team,MP,country_full_name
154,154,Charlize Rule,AUS,DF,19.0,18.0,18,1592.0,17.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,3.1,4.2,32.0,116.0,40.0,0.0,0.06,0.06,0.0,0.06,0.07,0.17,0.24,0.07,0.24,Matches,Sydney,,Australia
155,155,Sarah Hunter,AUS,MF,18.0,18.0,18,1542.0,17.1,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,2.8,2.8,2.1,4.9,14.0,104.0,50.0,0.23,0.18,0.41,0.23,0.41,0.17,0.12,0.29,0.17,0.29,Matches,Sydney,,Australia
156,156,Cortnee Vine,AUS,"FW,MF",24.0,18.0,18,1511.0,16.8,7.0,8.0,15.0,7.0,0.0,0.0,3.0,0.0,5.8,5.8,9.4,15.2,118.0,70.0,210.0,0.42,0.48,0.89,0.42,0.89,0.35,0.56,0.9,0.35,0.9,Matches,Sydney,,Australia
157,157,Mackenzie Hawkesby,AUS,MF,22.0,17.0,17,1484.0,16.5,6.0,5.0,11.0,5.0,1.0,1.0,4.0,0.0,6.4,5.6,4.4,10.0,22.0,106.0,89.0,0.36,0.3,0.67,0.3,0.61,0.39,0.26,0.65,0.34,0.6,Matches,Sydney,,Australia
158,158,Natalie Tobin,AUS,DF,25.0,16.0,16,1383.0,15.4,2.0,2.0,4.0,2.0,0.0,0.0,5.0,2.0,1.9,1.9,1.2,3.1,13.0,73.0,7.0,0.13,0.13,0.26,0.13,0.26,0.12,0.08,0.2,0.12,0.2,Matches,Sydney,,Australia
159,159,Charlotte Mclean,AUS,DF,22.0,13.0,13,1169.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.5,8.0,37.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,Sydney,,Australia
160,160,Jada Mathyssen-Whyman,AUS,GK,22.0,12.0,12,1079.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sydney,,Australia
161,161,Shay Hollman,AUS,MF,16.0,14.0,12,1056.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.5,2.0,52.0,14.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,Sydney,,Australia
162,162,Deborah De La Harpe,IRL,DF,22.0,14.0,11,1056.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,11.0,39.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Sydney,,Ireland
163,163,Kirsty Fenton,AUS,DF,18.0,14.0,11,1023.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.4,1.1,10.0,41.0,20.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.09,0.06,0.09,Matches,Sydney,,Australia
164,164,Madison Haley,null,FW,23.0,12.0,9,769.0,8.5,8.0,3.0,11.0,8.0,0.0,1.0,3.0,0.0,6.1,5.3,2.8,8.2,14.0,44.0,52.0,0.94,0.35,1.29,0.94,1.29,0.72,0.33,1.05,0.62,0.96,Matches,Sydney,,null
165,165,Rachel Lowe,AUS,"FW,MF",21.0,14.0,7,655.0,7.3,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,6.5,6.5,0.7,7.2,9.0,27.0,79.0,0.55,0.14,0.69,0.55,0.69,0.89,0.1,0.99,0.89,0.99,Matches,Sydney,,Australia
166,166,Anna Green,NZL,DF,31.0,7.0,5,428.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,2.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,Sydney,,New Zealand
167,167,Katie Offer,AUS,GK,23.0,5.0,4,361.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sydney,,Australia
168,168,Indiana Dos Santos,AUS,MF,14.0,5.0,3,288.0,3.2,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,1.1,2.0,7.0,22.0,11.0,0.31,0.62,0.94,0.31,0.94,0.26,0.36,0.62,0.26,0.62,Matches,Sydney,,Australia
169,169,Tahlia Franco,AUS,GK,16.0,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sydney,,Australia
170,170,Rola Badawiya,AUS,FW,24.0,7.0,1,179.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.1,1.3,1.0,3.0,29.0,0.5,0.0,0.5,0.5,0.5,0.57,0.06,0.63,0.57,0.63,Matches,Sydney,,Australia
171,171,Mary Stanic-Floody,null,MF,,12.0,1,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,Sydney,,null
172,172,Remy Siemsen,AUS,FW,22.0,4.0,1,111.0,1.2,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,3.0,3.0,10.0,1.62,0.81,2.43,1.62,2.43,0.52,0.12,0.64,0.52,0.64,Matches,Sydney,,Australia
173,173,Shadeene Evans,AUS,FW,20.0,1.0,1,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,Sydney,,Australia
174,174,Abbey Lemon,AUS,"FW,MF",19.0,7.0,0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,4.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.26,0.09,0.35,0.26,0.35,Matches,Sydney,,Australia
175,175,Jynaya Dos Santos,AUS,FW,16.0,1.0,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches,Sydney,,Australia
176,176,Teigan Collister,AUS,"DF,FW",22.0,3.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sydney,,Australia
177,177,Anika Stajcic,AUS,MF,16.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sydney,,Australia
178,178,Jasmine Black,null,GK,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sydney,,null
